Phrase,SoundsLike,IPA,DisplayAs
flick,,,flick
backhand,,,backhand
swing,,,swing
swing-to,,,swing to
swings-to,,,swings to
dump,,,dump
dump-to,,,dump to
dumps-to,,,dumps to
to,,,to
end-zone,,,end zone
for-a-score,,,for a score
for-the-score,,,for the score
for-a-goal,,,for a goal
goal,,,goal
score,,,score
picked-up-by,,,picked up by
tapped-in,,,tapped in
taps-it-in,,,taps it in
white,,,white
dark,,,dark
black,,,black
for-white,,,for white
for-dark,,,for dark
for-black,,,for black
pull,,,pull
hammer,,,hammer
scoober,,,scoober
blade,,,blade
swing,,,swing
dump,,,dump
huck,,,huck
laser,,,laser
pick,,,pick
injury,,,injury
foul,,,foul
violation,,,violation
travel,,,travel
strip,,,strip
stall,,,stall
stalled-out,,,stalled out
called,,,called
turf,,,turf
turfed,,,turfed
turn,,,turn
turnover,,,turnover
dropped,,,dropped
D.,,,D
intercepted,,,intercepted
deed,,,D'd
deed-by,,,D'd by
subs,,,subs
subbed,,,subbed
checks-it-in,,,checks it in
checked-in,,,checked in
checks-it,,,checks it
thumber,,,thumber
chicken-wing,,,chicken wing
pizza,,,pizza
wall,,,wall
glass,,,glass
net,,,net
netting,,,netting
off-the-wall,,,off the wall
off-the-net,,,off the net
pikachu,,,Pikachu
witlock,,,Whitlock
bush,,,Busch
federbush,,,Federbusch
tristan,,,Tristan
